State StateCode Year PCP TAVG PDSI PHDI ZNDX PMDI CDD HDD SP01 SP02 SP03 SP06 SP09 SP12 SP24 TMIN TMAX
Alabama 1 2007 37.87 773.0 -47.42 -47.42 -21.77 -46.44 2174.0 2517.0 -8.67 -12.35 -14.62 -17.48 -20.51 -22.46 -19.96 624.3 921.4
Alabama 1 2008 53.07 755.1 -20.15 -33.09 -1.09 -25.31 1844.0 2802.0 -0.1 -1.16 -2.06 -4.54 -8.33 -13.82 -23.82 613.2 896.7
Alabama 1 2009 73.78 755.0 24.47 18.16 18.52 21.45 1824.0 2792.0 8.61 10.88 12.22 12.92 11.5 9.49 -2.77 624.6 885.1
Alabama 1 2010 47.2 752.5 -10.62 12.77 -10.72 4.43 2294.0 3311.0 -3.42 -2.32 -1.84 3.08 9.26 14.86 18.36 608.5 895.9
Alabama 1 2011 50.7 766.1 -31.85 -31.85 -8.42 -27.03 2037.0 2660.0 -2.73 -3.67 -4.82 -7.8 -10.36 -12.68 2.16 620.7 911.4
Alabama 1 2012 53.38 779.0 -13.49 -23.13 -3.32 -14.87 2038.0 2202.0 0.02 -0.34 -0.18 -1.69 -4.7 -5.34 -12.65 640.0 918.2
Alabama 1 2013 64.7 751.3 24.99 24.99 12.8 22.19 1720.0 2816.0 5.67 6.85 7.3 10.09 10.95 9.95 2.77 622.6 879.8
Alabama 1 2014 56.03 744.5 8.51 19.2 1.06 9.84 1830.0 3128.0 0.17 0.91 1.25 1.66 5.76 6.69 11.58 604.4 884.6
Alabama 1 2015 61.36 775.7 -6.72 -5.52 1.96 -4.17 2090.0 2419.0 3.05 2.16 1.23 0.0 -2.08 -1.15 3.45 645.6 905.3
Alabama 1 2016 46.05 784.0 -18.81 -10.28 -15.47 -13.43 2299.0 2349.0 -4.72 -4.61 -3.55 0.24 4.01 6.66 3.55 641.2 926.8
Alaska 50 1960 37.81 320.8 -1199.88 -1199.88 -1199.88 -1199.88 -119988.0 -119988.0 -1199.88 -1199.88 -1199.88 -1199.88 -1199.88 -1199.88 -1199.88 232.5 408.9
Alaska 50 1961 41.09 284.5 -1199.88 -1199.88 -1199.88 -1199.88 -119988.0 -119988.0 -1199.88 -1199.88 -1199.88 -1199.88 -1199.88 -1199.88 -1199.88 197.3 371.7
Alaska 50 1962 35.39 322.1 -1199.88 -1199.88 -1199.88 -1199.88 -119988.0 -119988.0 -1199.88 -1199.88 -1199.88 -1199.88 -1199.88 -1199.88 -1199.88 234.8 409.5
Alaska 50 1963 39.96 318.8 -1199.88 -1199.88 -1199.88 -1199.88 -119988.0 -119988.0 -1199.88 -1199.88 -1199.88 -1199.88 -1199.88 -1199.88 -1199.88 232.3 405.7
Alaska 50 1964 35.71 279.1 -1199.88 -1199.88 -1199.88 -1199.88 -119988.0 -119988.0 -1199.88 -1199.88 -1199.88 -1199.88 -1199.88 -1199.88 -1199.88 189.6 368.9
Alaska 50 1965 38.04 296.4 -1199.88 -1199.88 -1199.88 -1199.88 -119988.0 -119988.0 -1199.88 -1199.88 -1199.88 -1199.88 -1199.88 -1199.88 -1199.88 210.7 382.2
Alaska 50 1966 33.79 285.2 -1199.88 -1199.88 -1199.88 -1199.88 -119988.0 -119988.0 -1199.88 -1199.88 -1199.88 -1199.88 -1199.88 -1199.88 -1199.88 195.1 375.1
Alaska 50 1967 39.07 324.8 -1199.88 -1199.88 -1199.88 -1199.88 -119988.0 -119988.0 -1199.88 -1199.88 -1199.88 -1199.88 -1199.88 -1199.88 -1199.88 236.0 413.9
Alaska 50 1968 29.43 304.6 -1199.88 -1199.88 -1199.88 -1199.88 -119988.0 -119988.0 -1199.88 -1199.88 -1199.88 -1199.88 -1199.88 -1199.88 -1199.88 211.3 398.4
Alaska 50 1969 29.44 324.4 -1199.88 -1199.88 -1199.88 -1199.88 -119988.0 -119988.0 -1199.88 -1199.88 -1199.88 -1199.88 -1199.88 -1199.88 -1199.88 233.0 415.6
Alaska 50 1970 36.26 302.9 -1199.88 -1199.88 -1199.88 -1199.88 -119988.0 -119988.0 -1199.88 -1199.88 -1199.88 -1199.88 -1199.88 -1199.88 -1199.88 214.2 391.4
Alaska 50 1971 36.28 267.3 -1199.88 -1199.88 -1199.88 -1199.88 -119988.0 -119988.0 -1199.88 -1199.88 -1199.88 -1199.88 -1199.88 -1199.88 -1199.88 175.2 359.2
Alaska 50 1972 31.32 282.7 -1199.88 -1199.88 -1199.88 -1199.88 -119988.0 -119988.0 -1199.88 -1199.88 -1199.88 -1199.88 -1199.88 -1199.88 -1199.88 190.5 374.9
Alaska 50 1973 31.7 295.2 -1199.88 -1199.88 -1199.88 -1199.88 -119988.0 -119988.0 -1199.88 -1199.88 -1199.88 -1199.88 -1199.88 -1199.88 -1199.88 205.0 385.1
Alaska 50 1974 33.22 284.1 -1199.88 -1199.88 -1199.88 -1199.88 -119988.0 -119988.0 -1199.88 -1199.88 -1199.88 -1199.88 -1199.88 -1199.88 -1199.88 187.5 380.6
Alaska 50 1975 33.22 276.4 -1199.88 -1199.88 -1199.88 -1199.88 -119988.0 -119988.0 -1199.88 -1199.88 -1199.88 -1199.88 -1199.88 -1199.88 -1199.88 183.1 369.8
Alaska 50 1976 36.63 309.7 -1199.88 -1199.88 -1199.88 -1199.88 -119988.0 -119988.0 -1199.88 -1199.88 -1199.88 -1199.88 -1199.88 -1199.88 -1199.88 215.3 404.5
Alaska 50 1977 35.14 324.0 -1199.88 -1199.88 -1199.88 -1199.88 -119988.0 -119988.0 -1199.88 -1199.88 -1199.88 -1199.88 -1199.88 -1199.88 -1199.88 231.5 416.6
Alaska 50 1978 34.85 348.9 -1199.88 -1199.88 -1199.88 -1199.88 -119988.0 -119988.0 -1199.88 -1199.88 -1199.88 -1199.88 -1199.88 -1199.88 -1199.88 257.4 440.5
Alaska 50 1979 37.26 331.2 -1199.88 -1199.88 -1199.88 -1199.88 -119988.0 -119988.0 -1199.88 -1199.88 -1199.88 -1199.88 -1199.88 -1199.88 -1199.88 240.2 421.8
Alaska 50 1980 38.48 317.4 -1199.88 -1199.88 -1199.88 -1199.88 -119988.0 -119988.0 -1199.88 -1199.88 -1199.88 -1199.88 -1199.88 -1199.88 -1199.88 228.8 405.9
Alaska 50 1981 40.29 350.5 -1199.88 -1199.88 -1199.88 -1199.88 -119988.0 -119988.0 -1199.88 -1199.88 -1199.88 -1199.88 -1199.88 -1199.88 -1199.88 263.0 438.0
Alaska 50 1982 35.07 303.6 -1199.88 -1199.88 -1199.88 -1199.88 -119988.0 -119988.0 -1199.88 -1199.88 -1199.88 -1199.88 -1199.88 -1199.88 -1199.88 216.7 390.5
Alaska 50 1983 31.95 322.3 -1199.88 -1199.88 -1199.88 -1199.88 -119988.0 -119988.0 -1199.88 -1199.88 -1199.88 -1199.88 -1199.88 -1199.88 -1199.88 235.0 409.6
Alaska 50 1984 33.03 303.0 -1199.88 -1199.88 -1199.88 -1199.88 -119988.0 -119988.0 -1199.88 -1199.88 -1199.88 -1199.88 -1199.88 -1199.88 -1199.88 211.3 394.9
Alaska 50 1985 39.7 315.5 -1199.88 -1199.88 -1199.88 -1199.88 -119988.0 -119988.0 -1199.88 -1199.88 -1199.88 -1199.88 -1199.88 -1199.88 -1199.88 225.0 405.8
Alaska 50 1986 37.7 323.2 -1199.88 -1199.88 -1199.88 -1199.88 -119988.0 -119988.0 -1199.88 -1199.88 -1199.88 -1199.88 -1199.88 -1199.88 -1199.88 230.7 415.6
Alaska 50 1987 39.37 330.4 -1199.88 -1199.88 -1199.88 -1199.88 -119988.0 -119988.0 -1199.88 -1199.88 -1199.88 -1199.88 -1199.88 -1199.88 -1199.88 239.5 421.7
Alaska 50 1988 38.17 325.5 -1199.88 -1199.88 -1199.88 -1199.88 -119988.0 -119988.0 -1199.88 -1199.88 -1199.88 -1199.88 -1199.88 -1199.88 -1199.88 236.2 414.6
Alaska 50 1989 37.52 321.3 -1199.88 -1199.88 -1199.88 -1199.88 -119988.0 -119988.0 -1199.88 -1199.88 -1199.88 -1199.88 -1199.88 -1199.88 -1199.88 230.9 411.4
Alaska 50 1990 39.07 304.8 -1199.88 -1199.88 -1199.88 -1199.88 -119988.0 -119988.0 -1199.88 -1199.88 -1199.88 -1199.88 -1199.88 -1199.88 -1199.88 209.3 400.0
Alaska 50 1991 38.7 323.6 -1199.88 -1199.88 -1199.88 -1199.88 -119988.0 -119988.0 -1199.88 -1199.88 -1199.88 -1199.88 -1199.88 -1199.88 -1199.88 231.1 415.9
Alaska 50 1992 38.54 300.5 -1199.88 -1199.88 -1199.88 -1199.88 -119988.0 -119988.0 -1199.88 -1199.88 -1199.88 -1199.88 -1199.88 -1199.88 -1199.88 210.3 390.7
Alaska 50 1993 39.25 358.8 -1199.88 -1199.88 -1199.88 -1199.88 -119988.0 -119988.0 -1199.88 -1199.88 -1199.88 -1199.88 -1199.88 -1199.88 -1199.88 268.2 449.3
Alaska 50 1994 39.17 314.5 -1199.88 -1199.88 -1199.88 -1199.88 -119988.0 -119988.0 -1199.88 -1199.88 -1199.88 -1199.88 -1199.88 -1199.88 -1199.88 224.9 404.0
Alaska 50 1995 31.29 333.3 -1199.88 -1199.88 -1199.88 -1199.88 -119988.0 -119988.0 -1199.88 -1199.88 -1199.88 -1199.88 -1199.88 -1199.88 -1199.88 244.5 421.6
Alaska 50 1996 31.64 300.9 -1199.88 -1199.88 -1199.88 -1199.88 -119988.0 -119988.0 -1199.88 -1199.88 -1199.88 -1199.88 -1199.88 -1199.88 -1199.88 204.7 397.1
Alaska 50 1997 35.81 337.6 -1199.88 -1199.88 -1199.88 -1199.88 -119988.0 -119988.0 -1199.88 -1199.88 -1199.88 -1199.88 -1199.88 -1199.88 -1199.88 243.1 432.2
Alaska 50 1998 36.54 341.2 -1199.88 -1199.88 -1199.88 -1199.88 -119988.0 -119988.0 -1199.88 -1199.88 -1199.88 -1199.88 -1199.88 -1199.88 -1199.88 255.4 427.2
Alaska 50 1999 40.29 288.5 -1199.88 -1199.88 -1199.88 -1199.88 -119988.0 -119988.0 -1199.88 -1199.88 -1199.88 -1199.88 -1199.88 -1199.88 -1199.88 195.8 381.6
Alaska 50 2000 40.08 340.7 -1199.88 -1199.88 -1199.88 -1199.88 -119988.0 -119988.0 -1199.88 -1199.88 -1199.88 -1199.88 -1199.88 -1199.88 -1199.88 253.7 427.3
Alaska 50 2001 37.5 328.1 -1199.88 -1199.88 -1199.88 -1199.88 -119988.0 -119988.0 -1199.88 -1199.88 -1199.88 -1199.88 -1199.88 -1199.88 -1199.88 239.2 417.1
Alaska 50 2002 40.52 361.0 -1199.88 -1199.88 -1199.88 -1199.88 -119988.0 -119988.0 -1199.88 -1199.88 -1199.88 -1199.88 -1199.88 -1199.88 -1199.88 270.4 451.5
Alaska 50 2003 39.0 349.3 -1199.88 -1199.88 -1199.88 -1199.88 -119988.0 -119988.0 -1199.88 -1199.88 -1199.88 -1199.88 -1199.88 -1199.88 -1199.88 257.6 440.8
Alaska 50 2004 38.74 351.9 -1199.88 -1199.88 -1199.88 -1199.88 -119988.0 -119988.0 -1199.88 -1199.88 -1199.88 -1199.88 -1199.88 -1199.88 -1199.88 258.8 445.1
Alaska 50 2005 40.36 350.2 -1199.88 -1199.88 -1199.88 -1199.88 -119988.0 -119988.0 -1199.88 -1199.88 -1199.88 -1199.88 -1199.88 -1199.88 -1199.88 258.3 441.8
Alaska 50 2006 38.71 316.8 -1199.88 -1199.88 -1199.88 -1199.88 -119988.0 -119988.0 -1199.88 -1199.88 -1199.88 -1199.88 -1199.88 -1199.88 -1199.88 227.6 405.8
Alaska 50 2007 34.09 337.1 -1199.88 -1199.88 -1199.88 -1199.88 -119988.0 -119988.0 -1199.88 -1199.88 -1199.88 -1199.88 -1199.88 -1199.88 -1199.88 245.9 428.4
Alaska 50 2008 37.09 301.0 -1199.88 -1199.88 -1199.88 -1199.88 -119988.0 -119988.0 -1199.88 -1199.88 -1199.88 -1199.88 -1199.88 -1199.88 -1199.88 209.7 392.1
Alaska 50 2009 35.21 321.1 -1199.88 -1199.88 -1199.88 -1199.88 -119988.0 -119988.0 -1199.88 -1199.88 -1199.88 -1199.88 -1199.88 -1199.88 -1199.88 227.1 414.9
Alaska 50 2010 33.85 329.0 -1199.88 -1199.88 -1199.88 -1199.88 -119988.0 -119988.0 -1199.88 -1199.88 -1199.88 -1199.88 -1199.88 -1199.88 -1199.88 239.5 418.4
Alaska 50 2011 38.74 323.4 -1199.88 -1199.88 -1199.88 -1199.88 -119988.0 -119988.0 -1199.88 -1199.88 -1199.88 -1199.88 -1199.88 -1199.88 -1199.88 231.3 415.5
Alaska 50 2012 37.28 291.8 -1199.88 -1199.88 -1199.88 -1199.88 -119988.0 -119988.0 -1199.88 -1199.88 -1199.88 -1199.88 -1199.88 -1199.88 -1199.88 201.3 382.1
Alaska 50 2013 40.81 333.6 -1199.88 -1199.88 -1199.88 -1199.88 -119988.0 -119988.0 -1199.88 -1199.88 -1199.88 -1199.88 -1199.88 -1199.88 -1199.88 241.7 425.8
Alaska 50 2014 36.75 364.1 -1199.88 -1199.88 -1199.88 -1199.88 -119988.0 -119988.0 -1199.88 -1199.88 -1199.88 -1199.88 -1199.88 -1199.88 -1199.88 273.9 454.0
Alaska 50 2015 40.1 360.6 -1199.88 -1199.88 -1199.88 -1199.88 -119988.0 -119988.0 -1199.88 -1199.88 -1199.88 -1199.88 -1199.88 -1199.88 -1199.88 272.4 448.7
Alaska 50 2016 37.07 382.8 -1199.88 -1199.88 -1199.88 -1199.88 -119988.0 -119988.0 -1199.88 -1199.88 -1199.88 -1199.88 -1199.88 -1199.88 -1199.88 294.3 471.3
Arizona 2 1960 9.86 715.0 -5.22 0.36 -3.91 -0.36 2902.0 2420.0 -2.4 -3.33 -3.75 -3.13 0.59 3.57 -0.72 541.7 888.1
Arizona 2 1961 11.36 711.2 -14.3 -26.71 -8.37 -21.93 2641.0 2245.0 -1.43 -2.58 -3.25 -4.24 -7.44 -10.36 -4.34 540.4 881.5
Arizona 2 1962 10.07 718.1 -6.18 -6.01 -4.68 -2.93 2763.0 2161.0 -3.57 -4.55 -5.31 -5.52 -3.23 -1.32 -8.11 546.2 890.2
Arizona 2 1963 11.56 717.5 -21.25 -21.25 -6.58 -12.9 2750.0 2186.0 -1.93 -1.35 -1.27 -1.59 -4.68 -7.58 -6.26 545.1 889.9
Arizona 2 1964 11.13 693.2 -9.32 -19.75 -5.47 -12.18 2520.0 2717.0 -0.49 -1.82 -1.8 -1.43 -2.63 -3.75 -8.22 521.1 865.3
Arizona 2 1965 17.79 701.8 20.99 18.79 16.01 17.82 2370.0 2247.0 7.6 7.61 7.32 7.32 8.87 8.21 2.63 535.4 868.2
Arizona 2 1966 11.22 714.1 27.01 33.74 5.46 31.21 2810.0 2332.0 -0.53 -0.35 0.65 4.11 6.41 10.39 12.02 541.2 886.7
Arizona 2 1967 13.95 708.3 -7.26 -9.31 -1.98 -8.22 2591.0 2273.0 2.44 2.0 1.81 1.04 -1.45 -3.46 4.61 534.2 882.2
Arizona 2 1968 10.29 703.8 8.37 11.71 1.03 7.66 2476.0 2257.0 -1.17 -1.13 -0.18 1.79 4.83 7.33 2.47 533.5 873.8
Arizona 2 1969 12.5 716.4 2.62 2.62 0.75 0.15 2789.0 2201.0 1.68 2.64 2.18 0.93 -0.04 -0.62 4.1 550.3 882.8
Arizona 2 1970 11.06 707.7 -4.92 -7.51 -5.99 -5.58 2653.0 2333.0 -1.77 -2.49 -1.57 -0.98 -1.32 -2.25 -2.76 534.7 880.7
Arizona 2 1971 11.61 698.7 -10.68 -22.49 -6.74 -14.55 2436.0 2478.0 -1.31 -2.05 -3.03 -6.47 -8.94 -9.18 -8.21 525.3 871.8
Arizona 2 1972 11.97 715.8 -17.2 -15.69 -6.07 -16.75 2734.0 2219.0 -2.61 -3.48 -4.63 -5.82 -5.23 -5.05 -10.29 541.7 889.7
Arizona 2 1973 10.89 700.8 26.54 49.79 10.13 38.83 2669.0 2530.0 -1.54 -2.02 -2.39 3.13 9.74 12.38 5.64 529.8 871.5
Arizona 2 1974 10.99 713.9 -31.1 -24.8 -8.01 -26.38 2788.0 2313.0 -3.77 -3.75 -3.89 -8.83 -14.74 -15.68 0.57 540.7 887.0
Arizona 2 1975 10.16 694.7 -17.0 -17.0 -4.21 -10.28 2446.0 2532.0 -2.61 -3.29 -4.24 -4.38 -3.96 -5.05 -13.59 519.4 869.9
Arizona 2 1976 11.62 707.6 -11.52 -10.57 -3.65 -7.34 2510.0 2196.0 0.39 1.93 2.08 0.33 -1.67 -3.46 -6.43 533.7 881.7
Arizona 2 1977 10.61 722.6 -22.95 -22.95 -10.7 -22.47 2824.0 2052.0 -0.2 -1.69 -2.94 -5.55 -7.11 -6.56 -7.41 551.0 894.0
Arizona 2 1978 20.13 717.8 35.94 33.93 23.91 30.79 2809.0 2188.0 7.86 8.33 8.08 10.08 14.91 14.65 6.15 555.7 879.6
Arizona 2 1979 12.21 705.8 64.52 64.52 13.52 56.52 2703.0 2409.0 0.78 1.69 2.27 7.15 12.66 18.42 22.19 533.4 878.2
Arizona 2 1980 13.58 722.8 20.55 43.97 9.17 34.26 2710.0 1926.0 0.55 -0.05 0.48 2.39 5.81 7.48 17.3 551.7 894.0
Arizona 2 1981 12.47 735.9 -26.32 -26.32 -7.87 -24.01 2957.0 1816.0 2.89 3.36 2.11 -0.66 -4.42 -6.21 0.67 567.4 904.6
Arizona 2 1982 16.52 704.9 11.8 5.34 9.82 6.98 2506.0 2281.0 5.32 6.58 6.34 6.96 7.4 7.52 0.57 545.2 864.3
Arizona 2 1983 18.97 710.4 59.41 59.41 28.01 59.41 2603.0 2265.0 7.83 11.07 14.89 19.06 20.26 20.15 18.14 553.1 868.0
Arizona 2 1984 15.88 713.3 3.83 22.95 3.35 15.59 2682.0 2223.0 4.29 4.96 6.21 10.17 10.29 12.21 21.11 547.4 879.0
Arizona 2 1985 13.9 714.6 37.07 40.6 11.77 38.55 2738.0 2247.0 2.87 5.31 6.5 8.66 14.06 17.0 19.33 548.4 880.8
Arizona 2 1986 13.87 726.9 -2.86 6.41 -1.05 0.99 2697.0 1818.0 3.96 3.38 4.61 6.15 5.81 5.77 15.28 560.9 892.7
Arizona 2 1987 13.28 711.9 3.49 6.83 3.14 5.8 2804.0 2289.0 3.61 3.38 2.9 2.84 4.75 6.48 7.43 544.8 879.0
Arizona 2 1988 12.64 722.7 2.44 7.86 0.73 4.33 2871.0 2056.0 1.54 3.64 5.12 7.29 7.07 6.67 8.02 550.8 894.2
Arizona 2 1989 7.67 734.7 -38.57 -38.57 -20.36 -37.97 3058.0 1880.0 -8.65 -9.44 -10.87 -12.19 -11.53 -8.82 -1.17 554.1 915.3
Arizona 2 1990 14.08 716.8 -16.2 -32.88 -1.6 -23.56 2782.0 2195.0 4.68 4.67 4.32 2.17 -3.33 -9.21 -11.28 548.1 885.2
Arizona 2 1991 12.91 711.0 6.38 6.63 3.73 6.4 2587.0 2176.0 -1.86 -1.41 -1.29 0.05 4.46 6.67 -0.64 544.5 877.3
Arizona 2 1992 18.15 715.1 41.35 41.35 21.22 38.48 2788.0 2208.0 7.52 10.74 11.72 14.87 15.45 14.7 14.11 553.6 876.6
Arizona 2 1993 16.77 717.7 39.9 67.62 18.99 62.3 2710.0 2092.0 1.28 4.05 4.84 10.36 18.59 25.05 26.68 551.4 883.9
Arizona 2 1994 12.45 726.6 -10.04 -4.88 -5.99 -10.09 3008.0 2147.0 2.06 -0.09 -0.99 -2.66 -3.97 -4.86 15.62 556.4 896.8
Arizona 2 1995 11.44 732.1 7.58 18.61 2.73 13.55 2863.0 1842.0 -0.95 -1.12 -0.9 1.94 5.88 8.94 2.6 561.3 902.6
